220,160,90,40,4,0:33:20
280,205,115,50,2,0:43:40
360,260,145,65,2,0:55:40
460,335,190,85,2,1:09:30
590,430,240,105,2,1:25:40
755,550,310,135,3,1:44:20
970,705,395,175,3,2:06:10
1240,900,505,225,3,2:31:20
1585,1155,650,290,3,3:00:30
2030,1475,830,370,3,3:34:20
2595,1890,1065,470,3,4:13:40
3325,2420,1360,605,3,4:59:10
4255,3095,1740,775,3,5:52:10
5445,3960,2230,990,3,6:53:30
6970,5070,2850,1270,3,8:04:40
8925,6490,3650,1625,4,9:27:10
11425,8310,4675,2075,4,11:02:50
14620,10635,5980,2660,4,12:54:00
18715,13610,7655,3405,4,15:02:50
23955,17420,9800,4355,4,17:32:10
